day,date,slot,timeLocal,formatId,durationSec,hook,line1,line2,line3,line4,line5,voiceover,hashtags,photo1Url,photo2Url,photo3Url,videoFile,cta
5,2026-08-24,1,07:00,top3_matin,18,Top 3 PASS50 ce matin.,TOP 3 · 24H,#1 Emma Lohoues,#2 Lo Père Daloa,#3 Paul Yves Ettien,pass50.store,Top 3 PASS50 — période 24 heures. | 1 — Emma Lohoues · 88 points | 2 — Lo Père Daloa · 93 points | 3 — Paul Yves Ettien · 89 points | Classement complet : lien en bio.,#pass50 #pass50store #classement #influenceur #tiktokci,https://upload.wikimedia.org/wikipedia/commons/d/d4/Emma_lohoues.jpg,https://organe.pressecotedivoire.fr/img/posts/2024/02/1707843026-19055.jpg,,day-05_slot-01_top3_matin.mp4,Lien en bio → pass50.store
5,2026-08-24,2,09:00,live_radar_matin,15,Alerte live détectée.,🔴 LIVE RADAR,Eunice Zunon,@eunice.zunon,TikTok,pass50.store,Eunice Zunon est en live sur TikTok. | Le radar PASS50 vient de le détecter. | Va voir le classement pendant le live.,#pass50 #live #radar #influenceur #abidjan,,,,day-05_slot-02_live_radar_matin.mp4,Lien en bio → pass50.store
5,2026-08-24,3,11:00,fi_spotlight,20,Une FI monte fort.,FI DU JOUR,Kévine Obin,@kevineobin,Score 77,pass50.store,FI du jour sur PASS50 : Kévine Obin. | Score 24 h : 77 points. | +6 places gagnées récemment. | Tu le suis déjà ?,#pass50 #pass50store #classement #influenceur #tiktokci,,,,day-05_slot-03_fi_spotlight.mp4,Lien en bio → pass50.store
5,2026-08-24,4,13:00,classement_24h,22,Le Top 10 en un écran.,TOP 10 · 24H,1 Emma Lohoues,2 Lo Père Daloa,3 Paul Yves Ettien,4 Apoutchou National,"Voici le Top 10 PASS50 sur 24 heures. | Emma Lohoues, Lo Père Daloa, Paul Yves Ettien, Apoutchou National, Maabio. | Teknoush, INadeBelle, Kévine Obin, Edith Brou Bleu, Eunice Zunon. | Le détail sur pass50.store.",#pass50 #pass50store #classement #influenceur #tiktokci,https://upload.wikimedia.org/wikipedia/commons/d/d4/Emma_lohoues.jpg,https://organe.pressecotedivoire.fr/img/posts/2024/02/1707843026-19055.jpg,https://www.afrique-sur7.fr/wp-content/uploads/2024/04/435066119_954580733335041_3248310947409743273_n.jpg,day-05_slot-04_classement_24h.mp4,Lien en bio → pass50.store
5,2026-08-24,5,15:00,sondage,16,"Commente 1, 2 ou 3.",TU MISERais SUR QUI ?,1 Emma Lohoues,2 Lo Père Daloa,3 Paul Yves Ettien,Commente 👇,"Débat PASS50. | Qui finira numéro 1 ce soir ? | Commente 1, 2 ou 3. | Emma Lohoues, Lo Père Daloa ou Paul Yves Ettien — on compare demain matin.",#pass50 #pass50store #classement #influenceur #tiktokci,https://upload.wikimedia.org/wikipedia/commons/d/d4/Emma_lohoues.jpg,https://organe.pressecotedivoire.fr/img/posts/2024/02/1707843026-19055.jpg,,day-05_slot-05_sondage.mp4,Lien en bio → pass50.store
5,2026-08-24,6,17:00,buzz_montee,18,Ce profil explose le classement.,📈 MONTÉE,Kévine Obin,@kevineobin,+6 places,pass50.store,Buzz PASS50 : Kévine Obin monte fort. | +6 places. | Score actuel : 77 points. | Classement sur pass50.store.,#pass50 #pass50store #classement #influenceur #tiktokci,,,,day-05_slot-06_buzz_montee.mp4,Lien en bio → pass50.store
5,2026-08-24,7,19:00,live_radar_soir,15,"Le soir, ça chauffe sur PASS50.",🔴 SOIRÉE LIVE,INadeBelle,@inadebelle,pass50.store,,Ce soir sur le radar PASS50 : INadeBelle. | En live sur TikTok. | Lien en bio pour le classement.,#pass50 #pass50store #classement #influenceur #tiktokci,,,,day-05_slot-07_live_radar_soir.mp4,Lien en bio → pass50.store
5,2026-08-24,8,21:00,top3_soir,18,Classement du soir.,TOP 3 SOIR,#1 Emma Lohoues,#2 Lo Père Daloa,#3 Paul Yves Ettien,,Top 3 du soir PASS50. | 1 Emma Lohoues | 2 Lo Père Daloa | 3 Paul Yves Ettien | Demain matin : nouvelle mise à jour.,#pass50 #pass50store #classement #influenceur #tiktokci,https://upload.wikimedia.org/wikipedia/commons/d/d4/Emma_lohoues.jpg,https://organe.pressecotedivoire.fr/img/posts/2024/02/1707843026-19055.jpg,,day-05_slot-08_top3_soir.mp4,Lien en bio → pass50.store
5,2026-08-24,9,23:00,recap_jour,24,Ce qu'il s'est passé aujourd'hui.,RÉCAP JOUR,👑 Emma Lohoues,📈 Kévine Obin,🔴 4 lives,pass50.store,Récap du jour sur PASS50. | Leader : Emma Lohoues. | Plus grosse montée : Kévine Obin. | 4 lives détectés sur le radar. | Rendez-vous demain 7 h.,#pass50 #pass50store #classement #influenceur #tiktokci,https://upload.wikimedia.org/wikipedia/commons/d/d4/Emma_lohoues.jpg,,,day-05_slot-09_recap_jour.mp4,Lien en bio → pass50.store
5,2026-08-24,10,01:00,teaser_lendemain,14,Rendez-vous dans 6 h.,DEMAIN 7H,NOUVEAU TOP 3,PASS50,pass50.store,,"Le classement ne dort jamais. | Demain 7 h : nouveau Top 3 PASS50. | Emma Lohoues, Lo Père Daloa ou Paul Yves Ettien — qui mène ? | Active la cloche.",#pass50 #pass50store #classement #influenceur #tiktokci,https://upload.wikimedia.org/wikipedia/commons/d/d4/Emma_lohoues.jpg,https://organe.pressecotedivoire.fr/img/posts/2024/02/1707843026-19055.jpg,,day-05_slot-10_teaser_lendemain.mp4,Lien en bio → pass50.store
